branch_id,branch_name,city,state,branch_type,opening_date
BR012,New Kellystad Branch,Taylorburgh,Indiana,Urban,2018-08-25
BR040,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12
BR009,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27
BR049,Martinezbury Branch,Lake Rebeccaside,Iowa,Semi-Urban,2019-08-25
BR039,New Stephanie Branch,Bassport,Connecticut,Rural,2025-04-25
BR036,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
BR013,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
BR000,North Judithbury Branch,West Andrewside,Arizona,Rural,2017-02-02
BR047,Lake Larry Branch,Evanmouth,MA,Urban,2023-11-03
BR006,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
BR037,Port Colleenhaven Branch,Davidstad,Hawaii,Rural,2018-10-22
BR023,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27
BR033,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09
BR018,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
BR004,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
BR025,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03
BR016,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
BR015,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
BR031,South Patrickmouth Branch,Sarahborough,Michigan,Rural,2020-01-15
BR011,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26
BR007,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29
BR005,Robinsonshire Branch,New David,Nevada,Urban,2017-11-13
BR027,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10
BR035,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21
BR048,Samuelhaven Branch,Hoffmanville,Iowa,Semi-Urban,2023-02-19
BR045,West Allison Branch,North Cynthiaview,New Jersey,Rural,2018-11-07
BR001,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22
BR028,Coxberg Branch,South David,AL,Rural,2024-02-08
BR030,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
BR002,New Roberttown Branch,Lake Crystalbury,Pennsylvania,Rural,2023-06-19
BR022,East Lydiamouth Branch,Mooreport,West Virginia,Semi-Urban,2025-05-21
BR034,Danielchester Branch,Stewartland,West Virginia,Rural,2017-11-16
BR017,West Michael Branch,South Todd,Minnesota,Semi-Urban,2018-07-13
BR026,West Donald Branch,North Susan,Idaho,Urban,2021-01-07
BR014,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
BR029,Daviston Branch,New Brooke,Idaho,Rural,2016-09-18
BR020,South Noah Branch,Saramouth,Nebraska,Urban,2022-01-09
BR032,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19
BR038,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18
BR046,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
BR044,East Donna Branch,Williamview,Illinois,Urban,2021-09-19
BR041,West Natashaport Branch,East Josephville,Arizona,Rural,2023-08-20
BR043,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14
BR010,Cassandraton Branch,North Richardmouth,Arizona,Rural,2022-04-27
BR019,New Jessica Branch,East Nicholasfurt,Oklahoma,Semi-Urban,2022-07-27
BR021,Lake Mark Branch,Rodneyside,South Carolina,Urban,2024-02-10
BR008,Ericmouth Branch,Gomezchester,Maryland,Rural,2025-05-09
BR003,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
BR024,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29
BR042,North John Branch,West Juan,New Mexico,Rural,2022-03-27
